"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Abbott labs","2005","11938697000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Abbott labs","2005","1856000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Abbott labs","2005","22337808000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Abbott labs","2006","12842175000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Abbott labs","2006","1475639","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Abbott labs","2006","22476322000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Abbott labs","2007","14492192000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Abbott labs","2007","1763500","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Abbott labs","2007","25914238000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Abbott labs","2008","17261530000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Abbott labs","2008","1861000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Abbott labs","2008","29527552000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Abbott labs","2009","17555378000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Abbott labs","2009","1589229","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Abbott labs","2009","30764707000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Abbott labs","2010","20501529000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Abbott labs","2010","1724000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Abbott labs","2010","35166721000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Abbott labs","2011","23310679000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Abbott labs","2011","1656000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Abbott labs","2011","38851259000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Abbott labs","2012","11677000000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Abbott labs","2012","1009000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Abbott labs","2012","21494000000","http://demo.wikirate.org/Page_000006460"