Headquarters value (jurisdiction),core+country value,ILO Region
Abu Dhabi (United Arab Emirates),United Arab Emirates,Arab States
Afghanistan,Afghanistan,Asia and the Pacific
Ajman (United Arab Emirates),United Arab Emirates,Arab States
Alabama (United States),United States,Americas
Åland Islands,Finland,Europe and Central Asia
Alaska (United States),United States,Americas
Albania,Albania,Europe and Central Asia
Alberta (Canada),Canada,Americas
Algeria,Algeria,Africa
American Samoa,United States,Americas
Andorra,Andorra,Europe and Central Asia
Angola,Angola,Africa
Anguilla,Anguilla (United Kingdom),Americas
Anhui (China),China,Asia and the Pacific
Antarctica,Antarctica,Unknown
Antigua and Barbuda,Antigua and Barbuda,Americas
Argentina,Argentina,Americas
Arizona (United States),United States,Americas
Arkansas (United States),United States,Americas
Armenia,Armenia,Europe and Central Asia
Aruba,Aruba (Netherlands),Americas
Australia,Australia,Asia and the Pacific
Austria,Austria,Europe and Central Asia
Azerbaijan,Azerbaijan,Europe and Central Asia
Bahamas,Bahamas,Americas
Bahrain,Bahrain,Arab States
Bangladesh,Bangladesh,Asia and the Pacific
Barbados,Barbados,Americas
Beijing (China),China,Asia and the Pacific
Belarus,Belarus,Europe and Central Asia
Belgium,Belgium,Europe and Central Asia
Belize,Belize,Americas
Benin,Benin,Africa
Bermuda,Bermuda (United Kingdom),Americas
Bhutan,Bhutan,Asia and the Pacific
Bolivia,Bolivia,Asia and the Pacific
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba (Netherlands)",Americas
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe and Central Asia
Botswana,Botswana,Africa
Bouvet Island,Norway,Europe and Central Asia
Brazil,Brazil,Americas
British Columbia (Canada),Canada,Americas
British Indian Ocean Territory,British Indian Ocean Territory  (United Kingdom),Unknown
British Virgin Islands,British Virgin Islands (United Kingdom),Americas
Brunei Darussalam,Brunei Darussalam,Asia and the Pacific
Bulgaria,Bulgaria,Europe and Central Asia
Burkina Faso,Burkina Faso,Africa
Burundi,Burundi,Africa
California (United States),United States,Americas
Cambodia,Cambodia,Asia and the Pacific
Cameroon,Cameroon,Africa
Canada,Canada,Americas
Cape Verde,Cape Verde,Africa
Cayman Islands,Cayman Islands  (United Kingdom),Americas
Central African Republic,Central African Republic,Africa
Chad,Chad,Africa
Chile,Chile,Americas
China,China,Asia and the Pacific
Chongqing (China),China,Asia and the Pacific
Christmas Island,Christmas Island (Australia),Unknown
Cocos (Keeling) Islands,Cocos (Keeling) Islands (Australia),Unknown
Colombia,Colombia,Americas
Colorado (United States),United States,Americas
Comoros,Comoros,Africa
Congo,Congo,Africa
Connecticut (United States),United States,Americas
Cook Islands,Cook Islands,Asia and the Pacific
Costa Rica,Costa Rica,Americas
Côte d'Ivoire,Côte d'Ivoire,Africa
Croatia,Croatia,Europe and Central Asia
Cuba,Cuba,Americas
Curaçao,Curaçao (Netherlands),Americas
Cyprus,Cyprus,Europe and Central Asia
Czech Republic,Czech Republic,Europe and Central Asia
Delaware (United States),United States,Americas
Democratic Republic of the Congo,Democratic Republic of the Congo,Africa
Denmark,Denmark,Europe and Central Asia
District of Columbia (United States),United States,Americas
Djibouti,Djibouti,Africa
Dominica,Dominica,Americas
Dominican Republic,Dominican Republic,Americas
Dubai (United Arab Emirates),United Arab Emirates,Arab States
Ecuador,Ecuador,Americas
Egypt,Egypt,Africa
El Salvador,El Salvador,Americas
Equatorial Guinea,Equatorial Guinea,Africa
Eritrea,Eritrea,Africa
Estonia,Estonia,Europe and Central Asia
Ethiopia,Ethiopia,Africa
Falkland Islands (Malvinas),Falkland Islands (Malvinas) (United Kingdom),Americas
Faroe Islands,Faroe Islands (Denmark),Europe and Central Asia
Fiji,Fiji,Asia and the Pacific
Finland,Finland,Europe and Central Asia
Florida (United States),United States,Americas
France,France,Europe and Central Asia
French Guiana,French Guiana (France),Americas
French Polynesia,French Polynesia (France),Asia and the Pacific
French Southern Territories,French Southern Territories (France),Unknown
Fujairah (United Arab Emirates),United Arab Emirates,Arab States
Fujian (China),China,Asia and the Pacific
Gabon,Gabon,Africa
Gambia,Gambia,Africa
Gansu (China),China,Asia and the Pacific
Georgia,Georgia,Europe and Central Asia
Georgia (United States),United States,Americas
Germany,Germany,Europe and Central Asia
Ghana,Ghana,Africa
Gibraltar,Gibraltar (United Kingdom),Europe and Central Asia
Greece,Greece,Europe and Central Asia
Greenland,Greenland,Americas
Grenada,Grenada,Americas
Guadeloupe,Guadeloupe (France),Americas
Guam,Guam (United States),Asia and the Pacific
Guangdong (China),China,Asia and the Pacific
Guangxi (China),China,Asia and the Pacific
Guatemala,Guatemala,Americas
Guernsey,Guernsey (United Kingdom),Unknown
Guinea,Guinea,Africa
Guinea-Bissau,Guinea-Bissau,Africa
Guizhou (China),China,Asia and the Pacific
Guyana,Guyana,Americas
Hainan (China),China,Asia and the Pacific
Haiti,Haiti,Americas
Hawaii (United States),United States,Americas
Heard Island and McDonald Islands,Heard Island and McDonald Islands (Australia),Unknown
Hebei (China),China,Asia and the Pacific
Heilongjiang (China),China,Asia and the Pacific
Henan (China),China,Asia and the Pacific
Holy See (Vatican City State),Holy See (Vatican City State),Unknown
Honduras,Honduras,Americas
Hong Kong,Hong Kong,Asia and the Pacific
Hubei (China),China,Asia and the Pacific
Hunan (China),China,Asia and the Pacific
Hungary,Hungary,Europe and Central Asia
Iceland,Iceland,Europe and Central Asia
Idaho (United States),United States,Americas
Illinois (United States),United States,Americas
Indiana (United States),United States,Americas
India,India,Asia and the Pacific
Indonesia,Indonesia,Asia and the Pacific
Inner Mongolia (China),China,Asia and the Pacific
Iowa (United States),United States,Americas
Iran,Iran,Asia and the Pacific
Iraq,Iraq,Arab States
Ireland,Ireland,Europe and Central Asia
Isle of Man,Isle of Man (United Kingdom),Europe and Central Asia
Israel,Israel,Europe and Central Asia
Italy,Italy,Europe and Central Asia
Jamaica,Jamaica,Americas
Japan,Japan,Asia and the Pacific
Jersey,Jersey (United Kingdom),Unknown
Jiangsu (China),China,Asia and the Pacific
Jiangxi (China),China,Asia and the Pacific
Jilin (China),China,Asia and the Pacific
Jordan,Jordan,Arab States
Kansas (United States),United States,Americas
Kazakhstan,Kazakhstan,Europe and Central Asia
Kentucky (United States),United States,Americas
Kenya,Kenya,Africa
Kiribati,Kiribati,Asia and the Pacific
"Korea, Democratic People's Republic of","Korea, Democratic People's Republic of",Asia and the Pacific
"Korea, Republic of","Korea, Republic of",Asia and the Pacific
Kosovo,Kosovo,Europe and Central Asia
Kuwait,Kuwait,Arab States
Kyrgyzstan,Kyrgyzstan,Europe and Central Asia
Laos,Laos,Asia and the Pacific
Latvia,Latvia,Europe and Central Asia
Lebanon,Lebanon,Arab States
Lesotho,Lesotho,Africa
Liaoning (China),China,Asia and the Pacific
Liberia,Liberia,Africa
Libya,Libya,Africa
Liechtenstein,Liechtenstein,Europe and Central Asia
Lithuania,Lithuania,Europe and Central Asia
Louisiana (United States),United States,Americas
Luxembourg,Luxembourg,Europe and Central Asia
Macao,Macao,Asia and the Pacific
Macau (China),China,Asia and the Pacific
Madagascar,Madagascar,Africa
Maine (United States),United States,Americas
Malawi,Malawi,Africa
Malaysia,Malaysia,Asia and the Pacific
Maldives,Maldives,Asia and the Pacific
Mali,Mali,Africa
Malta,Malta,Europe and Central Asia
Manitoba (Canada),Canada,Americas
Marshall Islands,Marshall Islands (United States),Asia and the Pacific
Martinique,Martinique (France),Americas
Maryland (United States),United States,Americas
Massachusetts (United States),United States,Americas
Mauritania,Mauritania,Africa
Mauritius,Mauritius,Africa
Mayotte,Mayotte (France),Africa
Mexico,Mexico,Americas
Michigan (United States),United States,Americas
"Micronesia, Federated States of","Micronesia, Federated States of",Asia and the Pacific
Minnesota (United States),United States,Americas
Mississippi (United States),United States,Americas
Missouri (United States),United States,Americas
Moldova,Moldova,Europe and Central Asia
Monaco,Monaco,Europe and Central Asia
Mongolia,Mongolia,Asia and the Pacific
Montana (United States),United States,Americas
Montenegro,Montenegro,Europe and Central Asia
Montserrat,Montserrat (United Kingdom),Americas
Morocco,Morocco,Africa
Mozambique,Mozambique,Africa
Myanmar,Myanmar,Asia and the Pacific
Namibia,Namibia,Africa
Nauru,Nauru,Asia and the Pacific
Nebraska (United States),United States,Americas
Nepal,Nepal,Asia and the Pacific
Netherlands,Netherlands,Europe and Central Asia
Nevada (United States),United States,Americas
New Brunswick (Canada),Canada,Americas
New Caledonia,New Caledonia (France),Asia and the Pacific
New Hampshire (United States),United States,Americas
New Jersey (United States),United States,Americas
New Mexico (United States),United States,Americas
New York (United States),United States,Americas
New Zealand,New Zealand,Asia and the Pacific
Newfoundland and Labrador (Canada),Canada,Americas
Nicaragua,Nicaragua,Americas
Niger,Niger,Africa
Nigeria,Nigeria,Africa
Ningxia (China),China,Asia and the Pacific
Niue,Niue,Asia and the Pacific
Norfolk Island,Norfolk Island (Australia),Unknown
North Carolina (United States),United States,Americas
North Dakota (United States),United States,Americas
North Macedonia,North Macedonia,Europe and Central Asia
Northern Mariana Islands,United States,Americas
Northwest Territories (Canada),Canada,Americas
Norway,Norway,Europe and Central Asia
Nova Scotia (Canada),Canada,Americas
Nunavut (Canada),Canada,Americas
Ohio (United States),United States,Americas
Oklahoma (United States),United States,Americas
Oman,Oman,Arab States
"Ontario, Canada",Canada,Americas
Oregon (United States),United States,Americas
Pakistan,Pakistan,Asia and the Pacific
Palau,Palau,Asia and the Pacific
Palestinian Territory,Palestinian Territory,Unknown
Panama,Panama,Americas
Papua New Guinea,Papua New Guinea,Asia and the Pacific
Paraguay,Paraguay,Americas
Pennsylvania (United States),United States,Americas
Peru,Peru,Americas
Philippines,Philippines,Asia and the Pacific
Pitcairn,Pitcairn (United Kingdom),Unknown
Poland,Poland,Europe and Central Asia
Portugal,Portugal,Europe and Central Asia
Prince Edward Island (Canada),Canada,Americas
Puerto Rico,Puerto Rico (United States),Americas
Qatar,Qatar,Arab States
Qinghai (China),China,Asia and the Pacific
Quebec (Canada),Canada,Americas
Ras Al-khaimah (United Arab Emirates),United Arab Emirates,Arab States
Réunion,Réunion (France),Africa
Rhode Island (United States),United States,Americas
Romania,Romania,Europe and Central Asia
Russia,Russia,Europe and Central Asia
Rwanda,Rwanda,Africa
Saint Barthélemy,Saint Barthélemy (France),Unknown
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha (United Kingdom)",Africa
Saint Kitts and Nevis,Saint Kitts and Nevis,Americas
Saint Lucia,Saint Lucia,Americas
Saint Martin (French part),Saint Martin (French part) (France),Americas
Saint Pierre and Miquelon,Saint Pierre and Miquelon (France),Americas
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Americas
Samoa,Samoa,Asia and the Pacific
San Marino,San Marino,Europe and Central Asia
Sao Tome and Principe,Sao Tome and Principe,Africa
Saskatchewan (Canada),Canada,Americas
Saudi Arabia,Saudi Arabia,Arab States
Senegal,Senegal,Africa
Serbia,Serbia,Europe and Central Asia
Seychelles,Seychelles,Africa
Shaanxi (China),China,Asia and the Pacific
Shandong (China),China,Asia and the Pacific
Shanghai (China),China,Asia and the Pacific
Shanxi (China),China,Asia and the Pacific
Sharjah (United Arab Emirates),United Arab Emirates,Arab States
Sichuan (China),China,Asia and the Pacific
Sierra Leone,Sierra Leone,Africa
Singapore,Singapore,Asia and the Pacific
Sint Maarten (Dutch part),Sint Maarten (Dutch part) (Netherlands),Americas
Slovakia,Slovakia,Europe and Central Asia
Slovenia,Slovenia,Europe and Central Asia
Solomon Islands,Solomon Islands,Asia and the Pacific
Somalia,Somalia,Africa
South Africa,South Africa,Africa
South Carolina (United States),United States,Americas
South Dakota (United States),United States,Americas
South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands (United Kingdom),Unknown
South Sudan,South Sudan,Africa
Spain,Spain,Europe and Central Asia
Sri Lanka,Sri Lanka,Asia and the Pacific
Sudan,Sudan,Africa
Suriname,Suriname,Americas
Svalbard and Jan Mayen,Norway,Europe and Central Asia
Swaziland,Swaziland,Africa
Sweden,Sweden,Europe and Central Asia
Switzerland,Switzerland,Europe and Central Asia
Syrian Arab Republic,Syrian Arab Republic,Arab States
"Taiwan, Province of China","Taiwan, Province of China",Asia and the Pacific
Tajikistan,Tajikistan,Europe and Central Asia
Tanzania,Tanzania,Africa
Tennessee (United States),United States,Americas
Texas (United States),United States,Americas
Thailand,Thailand,Asia and the Pacific
Tianjin (China),China,Asia and the Pacific
Tibet (China),China,Asia and the Pacific
Timor-Leste,Timor-Leste,Asia and the Pacific
Togo,Togo,Africa
Tokelau,Tokelau,Unknown
Tonga,Tonga,Asia and the Pacific
Trinidad and Tobago,Trinidad and Tobago,Americas
Tunisia,Tunisia,Africa
Turks and Caicos Islands,Turks and Caicos Islands (United Kingdom),Americas
Turkey,Turkey,Europe and Central Asia
Turkmenistan,Turkmenistan,Europe and Central Asia
Tuvalu,Tuvalu,Asia and the Pacific
U.S. Virgin Islands,U.S. Virgin Islands (United States),Asia and the Pacific
Uganda,Uganda,Africa
Ukraine,Ukraine,Europe and Central Asia
Umm Al-quwain (United Arab Emirates),United Arab Emirates,Arab States
United Arab Emirates,United Arab Emirates,Arab States
United Kingdom,United Kingdom,Europe and Central Asia
United States,United States,Americas
United States Minor Outlying Islands,United States,Americas
Uruguay,Uruguay,Americas
Utah (United States),United States,Americas
Uzbekistan,Uzbekistan,Europe and Central Asia
Vanuatu,Vanuatu,Asia and the Pacific
Venezuela,Venezuela,Americas
Vermont (United States),United States,Americas
Vietnam,Vietnam,Asia and the Pacific
Virginia (United States),United States,Americas
Wallis and Futuna,Wallis and Futuna (France),Unknown
Washington (United States),United States,Americas
West Virginia (United States),United States,Americas
Western Sahara,Western Sahara,Africa
Wisconsin (United States),United States,Americas
Wyoming (United States),United States,Americas
Xinjiang (China),China,Asia and the Pacific
Yemen,Yemen,Arab States
Yukon (Canada),Canada,Americas
Yunnan (China),China,Asia and the Pacific
Zambia,Zambia,Africa
Zhejiang (China),China,Asia and the Pacific
Zimbabwe,Zimbabwe,Africa