Region,OpenCorporates Jurisdiction key,ILO Region,Country,Country code
Andhra Pradesh,in,Asia and the Pacific,India,in
Arunachal Pradesh,in,Asia and the Pacific,India,in
Assam,in,Asia and the Pacific,India,in
Bihar,in,Asia and the Pacific,India,in
Chhattisgarh,in,Asia and the Pacific,India,in
Goa,in,Asia and the Pacific,India,in
Gujarat,in,Asia and the Pacific,India,in
Haryana,in,Asia and the Pacific,India,in
Himachal Pradesh,in,Asia and the Pacific,India,in
Jharkhand,in,Asia and the Pacific,India,in
Karnataka,in,Asia and the Pacific,India,in
Kerala,in,Asia and the Pacific,India,in
Madhya Pradesh,in,Asia and the Pacific,India,in
Maharashtra,in,Asia and the Pacific,India,in
Manipur,in,Asia and the Pacific,India,in
Meghalaya,in,Asia and the Pacific,India,in
Mizoram,in,Asia and the Pacific,India,in
Nagaland,in,Asia and the Pacific,India,in
Odisha,in,Asia and the Pacific,India,in
Punjab,in,Asia and the Pacific,India,in
Rajasthan,in,Asia and the Pacific,India,in
Sikkim,in,Asia and the Pacific,India,in
Tamil Nadu,in,Asia and the Pacific,India,in
Telangana,in,Asia and the Pacific,India,in
Tripura,in,Asia and the Pacific,India,in
Uttar Pradesh,in,Asia and the Pacific,India,in
Uttarakhand,in,Asia and the Pacific,India,in
West Bengal,in,Asia and the Pacific,India,in
Andaman and Nicobar Islands,in,Asia and the Pacific,India,in
Chandigarh,in,Asia and the Pacific,India,in
Dadra and Nagar Haveli and Daman and Diu,in,Asia and the Pacific,India,in
Delhi,in,Asia and the Pacific,India,in
Jammu and Kashmir,in,Asia and the Pacific,India,in
Ladakh,in,Asia and the Pacific,India,in
Lakshadweep,in,Asia and the Pacific,India,in
Puducherry,in,Asia and the Pacific,India,in