name,id,left_id,right_id,Comments (WR)
Commons+uses Tin smelted by+Ball Corporation+2019+Melt Metais e Ligas S/A+source,6145667,6145665,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Mineracao Taboca S.A.+values,6145669,6145668,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Mineracao Taboca S.A.+source,6145670,6145668,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Resind Indústria e Comércio Ltda.+values,6145672,6145671,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Resind Indústria e Comércio Ltda.+source,6145673,6145671,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Soft Metais Ltda.+values,6145675,6145674,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Soft Metais Ltda.+source,6145676,6145674,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Super Ligas+values,6145678,6145677,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Super Ligas+source,6145679,6145677,629,
Commons+uses Tin smelted by+Ball Corporation+2019+White Solder Metalurgia e Mineração Ltda.+values,6145681,6145680,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+White Solder Metalurgia e Mineração Ltda.+source,6145682,6145680,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Chifeng Dajingzi Tin Industry Co. Ltd.+values,6145687,6145686,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Chifeng Dajingzi Tin Industry Co. Ltd.+source,6145688,6145686,629,
"Commons+uses Tin smelted by+Ball Corporation+2019+China Tin Group Co., Ltd.+values",6145690,6145689,43591,
"Commons+uses Tin smelted by+Ball Corporation+2019+China Tin Group Co., Ltd.+source",6145691,6145689,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Dongguan CiEXPO Environmental Engineering Co. Ltd.+values,6145693,6145692,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Dongguan CiEXPO Environmental Engineering Co. Ltd.+source,6145694,6145692,629,
"Commons+uses Tin smelted by+Ball Corporation+2019+Gejiu City Fuxiang Industry and Trade Co., Ltd.+values",6145697,6145696,43591,
"Commons+uses Tin smelted by+Ball Corporation+2019+Gejiu City Fuxiang Industry and Trade Co., Ltd.+source",6145698,6145696,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Gejiu Kai Meng Industry and Trade LLC+values,6145704,6145703,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Gejiu Kai Meng Industry and Trade LLC+source,6145705,6145703,629,
"Commons+uses Tin smelted by+Ball Corporation+2019+Gejiu Non-Ferrous Metal Processing Co., Ltd.+values",6145707,6145706,43591,
"Commons+uses Tin smelted by+Ball Corporation+2019+Gejiu Non-Ferrous Metal Processing Co., Ltd.+source",6145708,6145706,629,
"Commons+uses Tin smelted by+Ball Corporation+2019+Gejiu Yunxin Nonferrous Electrolysis Co., Ltd.+values",6145710,6145709,43591,
"Commons+uses Tin smelted by+Ball Corporation+2019+Gejiu Yunxin Nonferrous Electrolysis Co., Ltd.+source",6145711,6145709,629,
"Commons+uses Tin smelted by+Ball Corporation+2019+Gejiu Zili Mining And Metallurgy Co., Ltd.+values",6145713,6145712,43591,
"Commons+uses Tin smelted by+Ball Corporation+2019+Gejiu Zili Mining And Metallurgy Co., Ltd.+source",6145714,6145712,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Guangdong Hanhe Non-ferrous Metal Co. Ltd.+values,6145716,6145715,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Guangdong Hanhe Non-ferrous Metal Co. Ltd.+source,6145717,6145715,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Guanyang Guida Nonferrous Metal Smelting Plant+values,6145719,6145718,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Guanyang Guida Nonferrous Metal Smelting Plant+source,6145720,6145718,629,
"Commons+uses Tin smelted by+Ball Corporation+2019+HuiChang Hill Tin Industry Co., Ltd.+values",6145722,6145721,43591,
"Commons+uses Tin smelted by+Ball Corporation+2019+HuiChang Hill Tin Industry Co., Ltd.+source",6145723,6145721,629,
"Commons+uses Tin smelted by+Ball Corporation+2019+Huichang Jinshunda Tin Co., Ltd.+values",6145725,6145724,43591,
"Commons+uses Tin smelted by+Ball Corporation+2019+Huichang Jinshunda Tin Co., Ltd.+source",6145726,6145724,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Jiangxi New Nanshan Technology Ltd.+values,6145728,6145727,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Jiangxi New Nanshan Technology Ltd.+source,6145729,6145727,629,
"Commons+uses Tin smelted by+Ball Corporation+2019+Ma'anshan Weitai Tin Co., Ltd.+values",6145731,6145730,43591,
"Commons+uses Tin smelted by+Ball Corporation+2019+Ma'anshan Weitai Tin Co., Ltd.+source",6145732,6145730,629,
"Commons+uses Tin smelted by+Ball Corporation+2019+Yunnan Chengfeng Non-ferrous Metals Co.,Ltd.+values",6145734,6145733,43591,
"Commons+uses Tin smelted by+Ball Corporation+2019+Yunnan Chengfeng Non-ferrous Metals Co.,Ltd.+source",6145735,6145733,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Yunnan Tin Company Limited+values,6145737,6145736,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Yunnan Tin Company Limited+source,6145738,6145736,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Yunnan Yunfan Non-ferrous Metals Co. Ltd.+values,6145743,6145742,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Yunnan Yunfan Non-ferrous Metals Co. Ltd.+source,6145744,6145742,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Precious Minerals and Smelting Ltd.+values,6145746,6145745,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Precious Minerals and Smelting Ltd.+source,6145747,6145745,629,
Commons+uses Tin smelted by+Ball Corporation+2019+PT Artha Cipta Langgeng+values,6145749,6145748,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+PT Artha Cipta Langgeng+source,6145750,6145748,629,
Commons+uses Tin smelted by+Ball Corporation+2019+PT ATD Makmur Mandiri Jaya+values,6145752,6145751,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+PT ATD Makmur Mandiri Jaya+source,6145753,6145751,629,
Commons+uses Tin smelted by+Ball Corporation+2019+PT Menara Cipta Mulia+values,6145755,6145754,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+PT Menara Cipta Mulia+source,6145756,6145754,629,
Commons+uses Tin smelted by+Ball Corporation+2019+PT Mitra Stania Prima+values,6145758,6145757,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+PT Mitra Stania Prima+source,6145759,6145757,629,
Commons+uses Tin smelted by+Ball Corporation+2019+PT Refined Bangka Tin+values,6145761,6145760,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+PT Refined Bangka Tin+source,6145762,6145760,629,
Commons+uses Tin smelted by+Ball Corporation+2019+PT Timah (Persero) Tbk Kundur+values,6145764,6145763,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+PT Timah (Persero) Tbk Kundur+source,6145765,6145763,629,
Commons+uses Tin smelted by+Ball Corporation+2019+PT Timah (Persero) Tbk Mentok+values,6145767,6145766,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+PT Timah (Persero) Tbk Mentok+source,6145768,6145766,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Dowa+values,6145770,6145769,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Dowa+source,6145771,6145769,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Mitsubishi Materials Corporation+values,6145773,6145772,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Mitsubishi Materials Corporation+source,6145774,6145772,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Malaysia Smelting Corporation (MSC)+values,6145776,6145775,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Malaysia Smelting Corporation (MSC)+source,6145777,6145775,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Modeltech Sdn Bhd+values,6145782,6145781,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Modeltech Sdn Bhd+source,6145783,6145781,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Pongpipat Company Limited+values,6145785,6145784,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Pongpipat Company Limited+source,6145786,6145784,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Minsur+values,6145788,6145787,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Minsur+source,6145789,6145787,629,
"Commons+uses Tin smelted by+Ball Corporation+2019+O.M. Manufacturing Philippines, Inc.+values",6145791,6145790,43591,
"Commons+uses Tin smelted by+Ball Corporation+2019+O.M. Manufacturing Philippines, Inc.+source",6145792,6145790,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Fenix Metals+values,6145794,6145793,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Fenix Metals+source,6145795,6145793,629,
"Commons+uses Tin smelted by+Ball Corporation+2019+Luna Smelter, Ltd.+values",6145798,6145797,43591,
"Commons+uses Tin smelted by+Ball Corporation+2019+Luna Smelter, Ltd.+source",6145799,6145797,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Metallo Spain S.L.U.+values,6145805,6145804,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Metallo Spain S.L.U.+source,6145806,6145804,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Rui Da Hung+values,6145808,6145807,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Rui Da Hung+source,6145809,6145807,629,
Commons+uses Tin smelted by+Ball Corporation+2019+O.M. Manufacturing (Thailand) Co. Ltd.+values,6145811,6145810,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+O.M. Manufacturing (Thailand) Co. Ltd.+source,6145812,6145810,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Thaisarco+values,6145814,6145813,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Thaisarco+source,6145815,6145813,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Alpha+values,6145817,6145816,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Alpha+source,6145818,6145816,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Metallic Resources Inc+values,6145820,6145819,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Metallic Resources Inc+source,6145821,6145819,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Tin Technology & Refining+values,6145823,6145822,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Tin Technology & Refining+source,6145824,6145822,629,
Commons+uses Tin smelted by+Ball Corporation+2019+An Vinh Joint Stock Mineral Processing Company+values,6145826,6145825,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+An Vinh Joint Stock Mineral Processing Company+source,6145827,6145825,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Electro-Mechanical Facility of the Cao Bang Minerals & Metallurgy Joint Stock Company+values,6145829,6145828,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Electro-Mechanical Facility of the Cao Bang Minerals & Metallurgy Joint Stock Company+source,6145830,6145828,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Nghe Tinh Non-Ferrous Metals Joint Stock Company+values,6145832,6145831,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Nghe Tinh Non-Ferrous Metals Joint Stock Company+source,6145833,6145831,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Thai Nguyen Mining and Metallurgy Co. Ltd.+values,6145835,6145834,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Thai Nguyen Mining and Metallurgy Co. Ltd.+source,6145836,6145834,629,
Commons+uses Tin smelted by+Ball Corporation+2019+Tuyen Quang Non-Ferrous Metals Joint Stock Company+values,6145838,6145837,43591,
Commons+uses Tin smelted by+Ball Corporation+2019+Tuyen Quang Non-Ferrous Metals Joint Stock Company+source,6145839,6145837,629,
Commons+Supplier of+Zhangzhou Fimore Garments Development Co. Ltd.+2018+values,6303120,6303119,43591,
Commons+Supplier of+Zhangzhou Fimore Garments Development Co. Ltd.+2018+overridden value,6303121,6303119,3652510,
Commons+Supplier of+AVANSTEKS+2019+values,6303123,6303122,43591,
Commons+Supplier of+AVANSTEKS+2019+overridden value,6303124,6303122,3652510,
Commons+Supplier of+BARATA GARCIA SA+2019+values,6303126,6303125,43591,
Commons+Supplier of+BARATA GARCIA SA+2019+overridden value,6303127,6303125,3652510,
Commons+Supplier of+BAYKAN MODA AS+2019+values,6303129,6303128,43591,
Commons+Supplier of+BAYKAN MODA AS+2019+overridden value,6303130,6303128,3652510,
Commons+Supplier of+BERKAY TEKSTIL+2019+values,6303132,6303131,43591,
Commons+Supplier of+BERKAY TEKSTIL+2019+overridden value,6303133,6303131,3652510,
Commons+Supplier of+Bms Clothing+2019+values,6303135,6303134,43591,
Commons+Supplier of+Bms Clothing+2019+overridden value,6303136,6303134,3652510,
Commons+Supplier of+CAREMIL IMPEX SRL+2019+values,6303138,6303137,43591,
Commons+Supplier of+CAREMIL IMPEX SRL+2019+overridden value,6303139,6303137,3652510,
Commons+Supplier of+CCM GIYIM MODA TEKSTIL+2019+values,6303141,6303140,43591,
Commons+Supplier of+CCM GIYIM MODA TEKSTIL+2019+overridden value,6303142,6303140,3652510,
Commons+Supplier of+CHANGSHU JIAYI SWEATER CO+2019+values,6303144,6303143,43591,
Commons+Supplier of+CHANGSHU JIAYI SWEATER CO+2019+overridden value,6303145,6303143,3652510,
Commons+Supplier of+COMFIT COMPOSITE KNIT LTD.+2019+values,6303147,6303146,43591,
Commons+Supplier of+COMFIT COMPOSITE KNIT LTD.+2019+overridden value,6303148,6303146,3652510,
Commons+Supplier of+CONSUMER KNITEX LTD+2019+values,6303150,6303149,43591,
Commons+Supplier of+CONSUMER KNITEX LTD+2019+overridden value,6303151,6303149,3652510,
Commons+Supplier of+CRS DENIM GARMENTS+2019+values,6303153,6303152,43591,
Commons+Supplier of+CRS DENIM GARMENTS+2019+overridden value,6303154,6303152,3652510,
Commons+Supplier of+DATSIMA SL+2019+values,6303156,6303155,43591,
Commons+Supplier of+DATSIMA SL+2019+overridden value,6303157,6303155,3652510,
Commons+Supplier of+Deeash Creations+2019+values,6303159,6303158,43591,
Commons+Supplier of+Deeash Creations+2019+overridden value,6303160,6303158,3652510,
Commons+Supplier of+DERZEN TEKSTIL SAN VE TIC+2019+values,6303162,6303161,43591,
Commons+Supplier of+DERZEN TEKSTIL SAN VE TIC+2019+overridden value,6303163,6303161,3652510,
Commons+Supplier of+DONGGUAN AORAN ZHIMAO YOU+2019+values,6303165,6303164,43591,
Commons+Supplier of+DONGGUAN AORAN ZHIMAO YOU+2019+overridden value,6303166,6303164,3652510,
Commons+Supplier of+DONGYANG SHENGMAO (SHE)+2019+values,6303168,6303167,43591,
Commons+Supplier of+DONGYANG SHENGMAO (SHE)+2019+overridden value,6303169,6303167,3652510,
Commons+Supplier of+EASTERN HERITAGE+2019+values,6303171,6303170,43591,
Commons+Supplier of+EASTERN HERITAGE+2019+overridden value,6303172,6303170,3652510,
