name,id,left_id,right_id,
Topic+Recent Companies,5945,1010,5939,
Company+Recent Topics,5948,651,5940,
Electronic Frontier Foundation+Fights for users' privacy rights in courts+Skype,1370775,1369161,1370740,
Electronic Frontier Foundation+Fights for users' privacy rights in courts+Loopt,1370797,1369161,1370741,
Electronic Frontier Foundation+Fights for users' privacy rights in Congress+Skype,1370846,1369619,1370740,
Electronic Frontier Foundation+Fights for users' privacy rights in Congress+Loopt,1370868,1369619,1370741,
Electronic Frontier Foundation+Tells users about data demands+Loopt,1371174,1371053,1370741,
Electronic Frontier Foundation+Transparency regarding Government Requests+Loopt,1371266,1371206,1370741,Unclear. There is data on this company for that year which is complete (https://wikirate.org/Electronic_Frontier_Foundation+Transparency_regarding_Government_Requests?filter%5Bnot_ids%5D=&sort=bookmarkers&filter%5Byear%5D=latest&filter%5Bstatus%5D=exists&filter%5Bcompany_name%5D=Loopt) but the IDs here don't show the full answer
vasiliki_gkatziaki+asset+patriot_national_bancorp_inc,3100040,1908858,3097498,Metric rename. This is duplicate data
vasiliki_gkatziaki+asset+pinnacle_financial_partner_inc,3100049,1908858,3097505,Metric rename. This is duplicate data
vasiliki_gkatziaki+asset+vet_online_supply_inc,3103418,1908858,3097539,Metric rename. This is duplicate data
vasiliki_gkatziaki+asset+green_earth_technology_inc,3138197,1908858,3097525,Metric rename. This is duplicate data
vasiliki_gkatziaki+asset+millennium_healthcare_inc,3138207,1908858,3097532,Metric rename. This is duplicate data
"Commons+uses Gold smelted by+Quad&#47;Graphics Inc+2014+China Rare Metal Material Co., Ltd.",4312078,4312001,4273660,"China Rare Metal Material Co., Ltd. seems to have been deleted or at least is showing up as if there is data associated with it, but doesn't exist as a card. There were other companies merged into it, so it should still exist, but I'm not sure how to  check the history. Here's a Ticket: https://wikirate.org/Company_has_been_partially_deleted"
"Commons+uses Gold smelted by+Arrow Electronics+2015+China Rare Metal Material Co., Ltd.",4334318,4334084,4273660,
"Commons+uses Gold smelted by+Hologic, Inc.+2014+China Rare Metal Material Co., Ltd.",4349208,3744139,4273660,
"Commons+uses Tin smelted by+KVH INDUSTRIES INC+2015+China Rare Metal Material Co., Ltd.",4364270,4364263,4273660,
"Commons+uses Tin smelted by+Brocade Communications Systems+2013+China Rare Metal Material Co., Ltd.",4365052,4364589,4273660,
"Commons+uses Tin smelted by+Imation+2013+China Rare Metal Material Co., Ltd.",4368760,4365749,4273660,
"Commons+uses Tin smelted by+Imation+2014+China Rare Metal Material Co., Ltd.",4369068,4368876,4273660,
"Commons+uses Tin smelted by+Abercrombie & Fitch+2015+China Rare Metal Material Co., Ltd.",4371212,4371205,4273660,
"Commons+uses Tin smelted by+Novatel Wireless, Inc.+2014+China Rare Metal Material Co., Ltd.",4372430,4372424,4273660,
"Commons+uses Tin smelted by+NVIDIA+2014+China Rare Metal Material Co., Ltd.",4374236,4374229,4273660,
"Commons+uses Tin smelted by+F5 Networks+2014+China Rare Metal Material Co., Ltd.",4375644,4375541,4273660,
"Commons+uses Tin smelted by+NATURAL GAS SERVICES GROUP INC+2014+China Rare Metal Material Co., Ltd.",4379354,4379337,4273660,
"Commons+uses Tin smelted by+NATURAL GAS SERVICES GROUP INC+2015+China Rare Metal Material Co., Ltd.",4379978,4379764,4273660,
"Commons+uses Tin smelted by+MATERION Corp+2014+China Rare Metal Material Co., Ltd.",4384196,4384193,4273660,
"Commons+uses Tin smelted by+Sonus Networks, Inc.+2014+China Rare Metal Material Co., Ltd.",4384842,4384483,4273660,
"Commons+uses Tin smelted by+Sonus Networks, Inc.+2015+China Rare Metal Material Co., Ltd.",4387256,4386826,4273660,
"Commons+uses Tin smelted by+IPG Photonics Corporation+2014+China Rare Metal Material Co., Ltd.",4388712,4388706,4273660,
"Commons+uses Tin smelted by+Integer Holdings Corp+2014+China Rare Metal Material Co., Ltd.",4389662,4389599,4273660,
"Commons+uses Tin smelted by+Netgear+2014+China Rare Metal Material Co., Ltd.",4392708,4392706,4273660,
"Commons+uses Tin smelted by+Rockwell Collins+2014+China Rare Metal Material Co., Ltd.",4392926,4392919,4273660,
"Commons+uses Tin smelted by+JetBlue+2014+China Rare Metal Material Co., Ltd.",4393674,4393667,4273660,
"Commons+uses Tin smelted by+Nortek, Inc.+2014+China Rare Metal Material Co., Ltd.",4394704,4394701,4273660,
"Commons+uses Tin smelted by+Ruckus Wireless, Inc.+2014+China Rare Metal Material Co., Ltd.",4397168,4397162,4273660,
"Commons+uses Tin smelted by+Verifone+2013+China Rare Metal Material Co., Ltd.",4398130,4397783,4273660,
"Commons+uses Tin smelted by+NxStage Medical Inc+2015+China Rare Metal Material Co., Ltd.",4400818,4400703,4273660,
"Commons+uses Tin smelted by+American Railcar Industries Inc.+2014+China Rare Metal Material Co., Ltd.",4402278,4402271,4273660,
"Commons+uses Tin smelted by+American Railcar Industries Inc.+2015+China Rare Metal Material Co., Ltd.",4402560,4402554,4273660,
"Commons+uses Tin smelted by+Clean Energy Fuels Corp.+2015+China Rare Metal Material Co., Ltd.",4403658,4403651,4273660,
"Commons+uses Tin smelted by+EchoStar Corporation+2015+China Rare Metal Material Co., Ltd.",4407038,4406773,4273660,
"Commons+uses Tin smelted by+CPI International Holding Corp.+2014+China Rare Metal Material Co., Ltd.",4412474,4412365,4273660,
"Commons+uses Tin smelted by+Hughes Satellite Systems Corp+2015+China Rare Metal Material Co., Ltd.",4413986,4413779,4273660,
"Commons+uses Tin smelted by+Zoetis+2015+China Rare Metal Material Co., Ltd.",4415960,4415949,4273660,
"Commons+uses Tin smelted by+A10 Networks Inc.+2015+China Rare Metal Material Co., Ltd.",4416344,4416257,4273660,
"Commons+uses Tin smelted by+Keysight Technologies Inc.+2014+China Rare Metal Material Co., Ltd.",4418020,4418013,4273660,
"Commons+uses Tin smelted by+Johnson&Johnson+2014+China Rare Metal Material Co., Ltd.",4420916,4420905,4273660,
"Commons+uses Tin smelted by+Cummins+2014+China Rare Metal Material Co., Ltd.",4423352,4423349,4273660,
"Commons+uses Tin smelted by+MAXWELL TECHNOLOGIES INC+2014+China Rare Metal Material Co., Ltd.",4428296,4428280,4273660,
"Commons+uses Tin smelted by+Data IO Corporation+2014+China Rare Metal Material Co., Ltd.",4429160,4428990,4273660,
"Commons+uses Tin smelted by+Data IO Corporation+2015+China Rare Metal Material Co., Ltd.",4430596,4430476,4273660,
"Commons+uses Tin smelted by+Hill-Rom Holdings Inc+2013+China Rare Metal Material Co., Ltd.",4435944,4435104,4273660,
"Commons+uses Tin smelted by+Lowe's Cos+2015+China Rare Metal Material Co., Ltd.",4437414,4437408,4273660,
"Commons+uses Tin smelted by+MDU Resources Group Inc.+2014+China Rare Metal Material Co., Ltd.",4440128,4440125,4273660,
"Commons+uses Tin smelted by+ELECTRO SCIENTIFIC INDUSTRIES INC+2014+China Rare Metal Material Co., Ltd.",4442196,4442194,4273660,
"Commons+uses Tin smelted by+Brady Corporation+2014+China Rare Metal Material Co., Ltd.",4443874,4443871,4273660,
"Commons+uses Tin smelted by+Arrow Electronics+2014+China Rare Metal Material Co., Ltd.",4444336,4444321,4273660,
"Commons+uses Tin smelted by+Arrow Electronics+2015+China Rare Metal Material Co., Ltd.",4444820,4444620,4273660,
"Commons+uses Tin smelted by+PMC-Sierra+2014+China Rare Metal Material Co., Ltd.",4446849,4446842,4273660,
"Commons+uses Tin smelted by+Plexus Corporation+2014+China Rare Metal Material Co., Ltd.",4447153,4447134,4273660,
"Commons+uses Tin smelted by+Joy Global+2014+China Rare Metal Material Co., Ltd.",4451157,4450735,4273660,
"Commons+uses Tin smelted by+Owens-Illinois, Inc.+2015+China Rare Metal Material Co., Ltd.",4454137,4454118,4273660,
"Commons+uses Tin smelted by+Fastenal+2015+China Rare Metal Material Co., Ltd.",4454595,4454552,4273660,
"Commons+uses Tin smelted by+Microchip Technology+2014+China Rare Metal Material Co., Ltd.",4455599,4455457,4273660,
"Commons+uses Tin smelted by+Regal-Beloit+2014+China Rare Metal Material Co., Ltd.",4456559,4456552,4273660,
"Commons+uses Tin smelted by+CLEARONE INC+2014+China Rare Metal Material Co., Ltd.",4457941,4457934,4273660,
"Commons+uses Tin smelted by+MERIT MEDICAL SYSTEMS INC+2015+China Rare Metal Material Co., Ltd.",4460521,4460378,4273660,
"Commons+uses Tin smelted by+RADISYS CORP+2014+China Rare Metal Material Co., Ltd.",4462939,4462893,4273660,
"Commons+uses Tin smelted by+First Data Corporation+2015+China Rare Metal Material Co., Ltd.",4464651,4464624,4273660,
"Commons+uses Tin smelted by+Ultratech, Inc.+2015+China Rare Metal Material Co., Ltd.",4467433,4467407,4273660,
"Commons+uses Tin smelted by+Teleflex Incorporated+2014+China Rare Metal Material Co., Ltd.",4471649,4471542,4273660,
"Commons+uses Tantalum smelted by+Arrow Electronics+2015+China Rare Metal Material Co., Ltd.",4503317,4503173,4273660,
"Commons+uses Tantalum smelted by+Joy Global+2014+China Rare Metal Material Co., Ltd.",4506257,4506167,4273660,
"Commons+uses Tin smelted by+Medtronic+2015+China Rare Metal Material Co., Ltd.",6078237,6078224,4273660,
"Commons+uses Tin smelted by+Nokia+2013+China Rare Metal Material Co., Ltd.",6079248,6079214,4273660,
"Commons+uses Tin smelted by+Apple Inc.+2013+China Rare Metal Material Co., Ltd.",6083160,6083152,4273660,
"Commons+uses Tin smelted by+Apple Inc.+2014+China Rare Metal Material Co., Ltd.",6083462,6083458,4273660,
"Commons+uses Tin smelted by+Verizon Communications Inc.+2015+China Rare Metal Material Co., Ltd.",6088321,6088202,4273660,
"Commons+uses Tin smelted by+Canon Inc.+2014+China Rare Metal Material Co., Ltd.",6089479,6062404,4273660,
"Commons+uses Tin smelted by+Eni+2014+China Rare Metal Material Co., Ltd.",6135184,6069685,4273660,
"Commons+uses Tin smelted by+Eni+2015+China Rare Metal Material Co., Ltd.",6139702,6070189,4273660,
Commons+uses Tantalum smelted by+Ball Corporation+2016+Mitsui Mining & Smelting,6142206,6142118,3660613,"Looks like this data should have been merged to Mitsui Mining and Smelting Co., Ltd. in the merge process, but the current company does not show the data https://wikirate.org/Mitsui_Mining_and_Smelting_Co_Ltd?filter%5Bnot_ids%5D=&sort=answer&filter%5Bname%5D=ball"
"Vasiliki Gkatziaki+is Gold supplier of+China Rare Metal Material Co., Ltd.",6146888,3654387,4273660,
"Commons+is Tantalum supplier of+China Rare Metal Material Co., Ltd.",6146895,4316776,4273660,
