metric,company_name,year,value,source
EICC+EICC member,Arista Networks,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,samsung,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,EMC,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Directv,2015,true,http://www.eiccoalition.org/about/members/
Fair Labor Association+Fair Labor Participant,Syngenta International AG,2015,true,http://www.fairlabor.org/affiliate/syngenta
EICC+EICC member,Micron Technology,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Western Digital,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Seagate Technology,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Motorola Solutions,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Applied Materials,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Broadcom,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,NetApp,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Advanced Semiconductor,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Flextronics International,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,KLA-Tencor,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,NXP Semiconductors,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Wistron,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,STMicroelectronics,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,AcBel Polytech Inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,ARRIS Group,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Edwards Ltd,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,FCI,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Sanmina-SCI,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Senju Metal,2015,true,http://www.eiccoalition.org/about/members/
Fair Labor Association+Fair Labor Participant,Hugo Boss AG,2015,true,http://www.fairlabor.org/affiliate/hugo-boss
Fair Labor Association+Fair Labor Participant,ABC GRUPPEN AB,2015,true,http://www.fairlabor.org/affiliate/abc-gruppen-ab
Fair Labor Association+Fair Labor Participant,Adidas AG,2015,true,http://www.fairlabor.org/affiliate/adidas-group
Fair Labor Association+Fair Labor Participant,arena Group,2015,true,http://www.fairlabor.org/affiliate/arena-group
Fair Labor Association+Fair Labor Participant,Barnes & Noble College Booksellers,2015,true,http://www.fairlabor.org/affiliate/barnes-noble-college-booksellers
Fair Labor Association+Fair Labor Participant,Colosseum,2015,true,http://www.fairlabor.org/affiliate/colosseum
Fair Labor Association+Fair Labor Participant,Concept One Accessories,2015,true,http://www.fairlabor.org/affiliate/concept-one-accessories
Fair Labor Association+Fair Labor Participant,"Cutter & Buck, Inc.",2015,true,http://www.fairlabor.org/affiliate/cutter-buck-inc
Fair Labor Association+Fair Labor Participant,"Dallas Cowboys Merchandising, Ltd.",2015,true,http://www.fairlabor.org/affiliate/dallas-cowboys-merchandising-ltd
Fair Labor Association+Fair Labor Participant,"Delta Apparel, Inc.",2015,true,http://www.fairlabor.org/affiliate/delta-apparel-inc
Fair Labor Association+Fair Labor Participant,Fenix Outdoor,2015,true,http://www.fairlabor.org/affiliate/fenix-outdoor
Fair Labor Association+Fair Labor Participant,Follett Higher Education Group,2015,true,http://www.fairlabor.org/affiliate/follett-higher-education-group
Fair Labor Association+Fair Labor Participant,Forty Seven Brand,2015,true,http://www.fairlabor.org/affiliate/forty-seven-brand
Fair Labor Association+Fair Labor Participant,Fruit of the Loom,2015,true,http://www.fairlabor.org/affiliate/fruit-loom
Fair Labor Association+Fair Labor Participant,Gear For Sports,2015,true,http://www.fairlabor.org/affiliate/gear-sports
Fair Labor Association+Fair Labor Participant,Gildan Activewear Inc.,2015,true,http://www.fairlabor.org/affiliate/gildan-activewear-inc
Fair Labor Association+Fair Labor Participant,GTM Sportswear,2015,true,http://www.fairlabor.org/affiliate/gtm-sportswear
Fair Labor Association+Fair Labor Participant,J. America Inc.,2015,true,http://www.fairlabor.org/affiliate/j-america-inc
Fair Labor Association+Fair Labor Participant,Kathmandu Holdings Ltd,2015,true,http://www.fairlabor.org/affiliate/kathmandu
Fair Labor Association+Fair Labor Participant,Knights Apparel,2015,true,http://www.fairlabor.org/affiliate/knights-apparel
Fair Labor Association+Fair Labor Participant,"Lakeshirts, Inc.",2015,true,http://www.fairlabor.org/affiliate/lakeshirts-inc
Fair Labor Association+Fair Labor Participant,Mountain Equipment Co-op,2015,true,http://www.fairlabor.org/affiliate/mountain-equipment-co-op
Fair Labor Association+Fair Labor Participant,"New Balance Athletic Shoe, Inc.",2015,true,http://www.fairlabor.org/affiliate/new-balance-athletic-shoe-inc
Fair Labor Association+Fair Labor Participant,"New Era Cap Co., Inc.",2015,true,http://www.fairlabor.org/affiliate/new-era-cap-co-inc
Fair Labor Association+Fair Labor Participant,"Nike, Inc.",2015,true,http://www.fairlabor.org/affiliate/nike-inc
Fair Labor Association+Fair Labor Participant,Olam International,2015,true,http://www.fairlabor.org/affiliate/olam
Fair Labor Association+Fair Labor Participant,Outdoor Cap,2015,true,http://www.fairlabor.org/affiliate/outdoor-cap
Fair Labor Association+Fair Labor Participant,"Outerstuff, Ltd.",2015,true,http://www.fairlabor.org/affiliate/outerstuff-ltd
Fair Labor Association+Fair Labor Participant,Patagonia Inc.,2015,true,http://www.fairlabor.org/affiliate/patagonia
Fair Labor Association+Fair Labor Participant,prAna,2015,true,http://www.fairlabor.org/affiliate/prana
Fair Labor Association+Fair Labor Participant,"Puma AG",2015,true,http://www.fairlabor.org/affiliate/puma-ag
Fair Labor Association+Fair Labor Participant,SanMar Corporation,2015,true,http://www.fairlabor.org/affiliate/sanmar-corporation
Fair Labor Association+Fair Labor Participant,The s.Oliver Group,2015,true,http://www.fairlabor.org/affiliate/soliver-group
Fair Labor Association+Fair Labor Participant,"Top of the World, LLC",2015,true,http://www.fairlabor.org/affiliate/top-world-llc
Fair Labor Association+Fair Labor Participant,"Tumi, Inc.",2015,true,http://www.fairlabor.org/affiliate/tumi-inc
Fair Labor Association+Fair Labor Participant,Under Armour,2015,true,http://www.fairlabor.org/affiliate/under-armour
Fair Labor Association+Fair Labor Participant,W.L. Gore & Associates GmbH,2015,true,http://www.fairlabor.org/affiliate/wl-gore-associates-gmbh
Fair Labor Association+Fair Labor Participant,Zephyr Graf-X,2015,true,http://www.fairlabor.org/affiliate/zephyr-graf-x
EICC+EICC member,Cisco Systems,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Intel Corporation,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Microsoft Corporation,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Symantec,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Texas Instruments,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Xerox,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,"best buy co., inc.",2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Philips,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Hewlett-Packard (HP),2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Oracle,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Asustek Computer Inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Eastman Kodak,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,"Lexmark International, Inc.",2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,LG Electronics,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,BlackBerry Limited,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,IBM (International Business Machines Corporation),2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Medtronic,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Qualcomm,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,SunEdison LLC,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Toshiba Corporation,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,"Amkor Technology, Inc.",2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Analog Devices,2015,true,http://www.eiccoalition.org/about/members/
Fair Labor Association+Fair Labor Participant,Apple Inc.,2015,true,http://www.fairlabor.org/affiliate/apple
EICC+EICC member,Apple Inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Celestica,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,"Chicony Electronics Co., Ltd",2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Ciena,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Citrix Systems,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Fabrinet,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Fairchild Semiconductor,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Foxconn,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Genband,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Global Advanced Metals Pty Ltd,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,HGST,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,HTC Corporation,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,International Rectifier Corporation,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Isola Group,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,KYE Systems Corp.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Logitech Inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Longwell Company,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Marvell,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,ModusLink,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Molex,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Motorola Mobility,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,NETGEAR,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,New Kinpo Group,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,ON Semiconductor,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Pace Plc,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,PCH International,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Plexus,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Qorvo,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,quanta computer inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,SanDisk Corporation,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,"Sierra Wireless, Inc.",2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Skyworks,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,SMART Modular Technologies,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Spansion,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Syncreon,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Synopsys,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,"Taiwan Chinsan Electronics<br />Industrial Co., Ltd.",2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Technicolor,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,TomTom International BV,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,TT Electronics Plc,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,XP Power,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,taiwan semiconductor manufacturing,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,SK Hynix Inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,ASML Holding,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Pegatron Corporation,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Compal Electronics Inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Konica Minolta Inc.,2015,true,http://www.eiccoalition.org/about/members/
Fair Labor Association+Fair Labor Participant,H&M,2015,true,http://www.fairlabor.org/affiliate/hm-hennes-mauritz-ab
EICC+EICC member,Adobe Systems,2015,true,http://www.eiccoalition.org/about/members/
Fair Labor Association+Fair Labor Participant,Hanesbrands,2015,true,http://www.fairlabor.org/affiliate/hanesbrands
Fair Labor Association+Fair Labor Participant,Nestle,2015,true,http://www.fairlabor.org/affiliate/nestle
Fair Labor Association+Fair Labor Participant,PVH,2015,true,http://www.fairlabor.org/affiliate/pvh-corp
EICC+EICC member,"Freescale Semiconductor, Inc.",2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Sony Corporation,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,"Advanced Micro Devices, Inc. (AMD)",2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Acer Inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Dell Inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Garmin,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Lenovo Group Ltd.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,NVIDIA,2015,true,http://www.eiccoalition.org/about/members/
